subject,grade,press,year,lesson_number_cn,lesson_name,vocab_preview
國語,5,南一版,113_2,五,高明說話術,"逞,尬,啞巴吃黃連,批評,尷尬..."
國語,5,南一版,113_2,六,讀書報告—佐賀的超級阿嬤,"刃,姨,缺,喻,馨..."
國語,5,南一版,113_2,七,魔術師爸爸,"任,癢,湊,絢,枚..."
國語,5,南一版,113_2,八,八歲，一個人去旅行,"癟,嚼,剎,打瞌睡,銅板..."
國語,5,南一版,113_2,九,紅鼻子醫生,"職,詢,核,證,乍然..."
國語,5,南一版,113_2,十,沉默的動物園,"渺小,絮,斜,傑,滔..."
國語,5,南一版,113_2,十一,地下護衛軍,"研,價,兵馬俑,皇帝,君王..."
國語,5,南一版,113_2,十二,金字塔之謎,"推測,矗,鳥瞰,蘊含,切割..."
國語,5,康軒版,113_2,一,你會怎麼回答,"博士,鴉雀無聲,不耐煩,從容,簽名..."
國語,5,康軒版,113_2,二,智救養馬人,"大禍臨頭,面如土色,恍然大悟,怒氣,朝廷..."
國語,5,康軒版,113_2,三,真正的「聰明」,"競逐,萬物之靈,自怨自艾,姍姍來遲,抵達..."
國語,5,康軒版,113_2,四,小記者，出動！,"英雄,偉大,疫情,情緒,緊繃..."
國語,5,康軒版,113_2,五,奇幻光芒的祕密,"沉浸,飾,閱,湧,神遊..."
國語,5,康軒版,113_2,六,人「聲」就是戲,"咳,詮,增,憂,須..."
國語,5,康軒版,113_2,七,真相？真相！,"柢,圈,哲,施,省..."
國語,5,康軒版,113_2,八,你想做人魚嗎？,"噴,抹香鯨,肚量,涵養,無窮無盡..."
國語,5,康軒版,113_2,九,海洋的殺手,"殼,孔,益,踐,廢..."
國語,5,康軒版,113_2,十,玉米人的奇蹟,"栩,剔,挑,絕,狼..."
國語,5,康軒版,113_2,十一,幸福的火苗,"規定,靈魂,心疼,貪婪,依稀..."
國語,5,康軒版,113_2,十二,神農嘗百草,"內臟,頓時,調息,一掃而空,不遺餘力..."
國語,5,翰林版,113_2,一,鵝鑾鼻詩,"北方,燈塔,音符,坎坷,海潮..."
國語,5,翰林版,113_2,二,山與海的交響樂—東海岸鐵道,"姿態,膀,翱,態,聳..."
國語,5,翰林版,113_2,三,我眼中的東方之最,"昂,簽,擅,拘,厚..."
國語,5,翰林版,113_2,四,滿修女採訪記,"私,重殘,和藹,訪談,爽朗..."
國語,5,翰林版,113_2,五,誰該被派去非洲,"優勢,灌注,裕,阻,攔..."
國語,5,翰林版,113_2,六,幸福的味道,"簿,草蓆,聯絡簿,瀰,暫..."
國語,5,翰林版,113_2,七,生活有感—詩兩首,"陰,渠,徊,徘,鑑..."
國語,5,翰林版,113_2,八,別把重點當全部,"謠言,哏,配,宣,寬..."
國語,5,翰林版,113_2,九,良言一句三冬暖,"訓練,友誼,誠懇,疏失,劍..."
國語,5,翰林版,113_2,十,擅長推理的人,"黝黑,白皙,呎,瘦,劑..."
國語,5,翰林版,113_2,十一,草船借箭,"率,恍,丞,庫,都督..."
國語,5,翰林版,113_2,十二,三個問題,"豁,豁然開朗,報仇,發誓,財產..."
國語,6,南一版,113_2,一,風中騎士,"盾,矛,霎時,煞車,尿尿..."
國語,6,南一版,113_2,二,達駭黑熊,"狩獵,喉嚨,黎明,奄奄一息,小心翼翼..."
國語,6,南一版,113_2,三,楊氏之子,"邏,捷,輯,例,楊梅..."
國語,6,南一版,113_2,四,談夢想,"邇,楷模,氣餒,沮喪,屹立不搖..."
國語,6,南一版,113_2,五,蒂烈娜,"洶湧,凶猛,急湍,強勁,不偏不倚..."
國語,6,南一版,113_2,六,不怕,"犯,汰,蠢,愚,按..."
國語,6,南一版,113_2,七,打開心中的窗,"懇,敦,咀,殷,彌..."
